[08/10/2023-18:06:32] [TRT] [I] [MemUsageChange] Init CUDA: CPU +224, GPU +0, now: CPU 265, GPU 2625 (MiB)
[08/10/2023-18:06:32] [TRT] [I] Loaded engine size: 21 MiB
[08/10/2023-18:06:33] [TRT] [I] [MemUsageChange] Init cuBLAS/cuBLASLt: CPU +155, GPU +151, now: CPU 450, GPU 2832 (MiB)
[08/10/2023-18:06:35] [TRT] [I] [MemUsageChange] Init cuDNN: CPU +240, GPU +247, now: CPU 690, GPU 3079 (MiB)
[08/10/2023-18:06:35] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +20, now: CPU 0, GPU 20 (MiB)
[08/10/2023-18:06:35] [TRT] [I] [MemUsageChange] Init cuBLAS/cuBLASLt: CPU +0, GPU +0, now: CPU 669, GPU 3059 (MiB)
[08/10/2023-18:06:35] [TRT] [I] [MemUsageChange] Init cuDNN: CPU +0, GPU +0, now: CPU 669, GPU 3059 (MiB)
[08/10/2023-18:06:35] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +32, now: CPU 0, GPU 52 (MiB)
GST_ARGUS: Creating output stream
CONSUMER: Waiting until producer is connected...
GST_ARGUS: Available Sensor modes :
GST_ARGUS: 3264 x 2464 FR = 21.000000 fps Duration = 47619048 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 3264 x 1848 FR = 28.000001 fps Duration = 35714284 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1920 x 1080 FR = 29.999999 fps Duration = 33333334 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1640 x 1232 FR = 29.999999 fps Duration = 33333334 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1280 x 720 FR = 59.999999 fps Duration = 16666667 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1280 x 720 FR = 120.000005 fps Duration = 8333333 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: Running with following settings:
   Camera index = 0 
   Camera mode  = 5 
   Output Stream W = 1280 H = 720 
   seconds to Run    = 0 
   Frame Rate = 120.000005 
GST_ARGUS: Setup Complete, Starting captures for 0 seconds
GST_ARGUS: Starting repeat capture requests.
CONSUMER: Producer has connected; continuing.
bingding: data (3, 640, 640)
bingding: prob (6001, 1, 1)
batch size is 1
Video name: output/raspberry_cam_from_drone_2023-08-10_18.06.36.avi . Frame size: width: 640 , height: 640 , FPS: 120
inference: time->58.97ms, fps: 16.96, total fps: 0.00, frame obj: 1, total obj: 1
inference: time->54.40ms, fps: 18.38, total fps: 3.00, frame obj: 1, total obj: 2
inference: time->55.72ms, fps: 17.95, total fps: 4.00, frame obj: 1, total obj: 3
inference: time->54.52ms, fps: 18.34, total fps: 4.00, frame obj: 1, total obj: 4
inference: time->54.56ms, fps: 18.33, total fps: 4.00, frame obj: 1, total obj: 5
inference: time->54.34ms, fps: 18.40, total fps: 4.00, frame obj: 1, total obj: 6
inference: time->54.44ms, fps: 18.37, total fps: 4.00, frame obj: 1, total obj: 7
inference: time->54.60ms, fps: 18.32, total fps: 4.00, frame obj: 1, total obj: 8
inference: time->54.39ms, fps: 18.38, total fps: 4.00, frame obj: 2, total obj: 10
inference: time->54.46ms, fps: 18.36, total fps: 4.00, frame obj: 2, total obj: 12
inference: time->55.15ms, fps: 18.13, total fps: 4.00, frame obj: 2, total obj: 14
inference: time->54.41ms, fps: 18.38, total fps: 4.00, frame obj: 2, total obj: 16
inference: time->54.47ms, fps: 18.36, total fps: 4.00, frame obj: 1, total obj: 17
inference: time->55.89ms, fps: 17.89, total fps: 4.00, frame obj: 1, total obj: 18
inference: time->54.63ms, fps: 18.30, total fps: 4.00, frame obj: 1, total obj: 19
inference: time->54.54ms, fps: 18.34, total fps: 4.00, frame obj: 1, total obj: 20
inference: time->54.50ms, fps: 18.35, total fps: 4.00, frame obj: 1, total obj: 21
inference: time->54.36ms, fps: 18.40, total fps: 4.00, frame obj: 1, total obj: 22
inference: time->54.47ms, fps: 18.36, total fps: 4.00, frame obj: 2, total obj: 24
inference: time->54.24ms, fps: 18.44, total fps: 4.00, frame obj: 1, total obj: 25
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 1, total obj: 26
inference: time->54.85ms, fps: 18.23, total fps: 4.00, frame obj: 1, total obj: 27
inference: time->54.35ms, fps: 18.40, total fps: 4.00, frame obj: 1, total obj: 28
inference: time->54.19ms, fps: 18.45, total fps: 4.00, frame obj: 1, total obj: 29
inference: time->54.68ms, fps: 18.29, total fps: 4.00, frame obj: 1, total obj: 30
inference: time->54.29ms, fps: 18.42, total fps: 4.00, frame obj: 1, total obj: 31
inference: time->54.75ms, fps: 18.27, total fps: 4.00, frame obj: 1, total obj: 32
inference: time->54.68ms, fps: 18.29, total fps: 4.00, frame obj: 1, total obj: 33
inference: time->54.47ms, fps: 18.36, total fps: 4.00, frame obj: 1, total obj: 34
inference: time->54.26ms, fps: 18.43, total fps: 4.00, frame obj: 1, total obj: 35
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 1, total obj: 36
inference: time->54.72ms, fps: 18.28, total fps: 4.00, frame obj: 1, total obj: 37
inference: time->54.13ms, fps: 18.47, total fps: 4.00, frame obj: 1, total obj: 38
inference: time->54.45ms, fps: 18.36, total fps: 4.00, frame obj: 2, total obj: 40
inference: time->54.26ms, fps: 18.43, total fps: 4.00, frame obj: 1, total obj: 41
inference: time->54.38ms, fps: 18.39, total fps: 4.00, frame obj: 1, total obj: 42
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 1, total obj: 43
inference: time->54.64ms, fps: 18.30, total fps: 4.00, frame obj: 1, total obj: 44
inference: time->54.39ms, fps: 18.39, total fps: 4.00, frame obj: 1, total obj: 45
inference: time->56.94ms, fps: 17.56, total fps: 4.00, frame obj: 1, total obj: 46
inference: time->54.35ms, fps: 18.40, total fps: 4.00, frame obj: 1, total obj: 47
inference: time->54.29ms, fps: 18.42, total fps: 4.00, frame obj: 1, total obj: 48
inference: time->54.72ms, fps: 18.28, total fps: 4.00, frame obj: 1, total obj: 49
inference: time->57.83ms, fps: 17.29, total fps: 4.00, frame obj: 1, total obj: 50
inference: time->56.70ms, fps: 17.64, total fps: 3.00, frame obj: 1, total obj: 51
inference: time->57.64ms, fps: 17.35, total fps: 4.00, frame obj: 1, total obj: 52
inference: time->57.64ms, fps: 17.35, total fps: 4.00, frame obj: 1, total obj: 53
inference: time->58.13ms, fps: 17.20, total fps: 4.00, frame obj: 1, total obj: 54
inference: time->58.05ms, fps: 17.23, total fps: 4.00, frame obj: 1, total obj: 55
inference: time->54.40ms, fps: 18.38, total fps: 4.00, frame obj: 1, total obj: 56
inference: time->54.75ms, fps: 18.27, total fps: 4.00, frame obj: 1, total obj: 57
inference: time->54.35ms, fps: 18.40, total fps: 4.00, frame obj: 1, total obj: 58
inference: time->56.97ms, fps: 17.55, total fps: 4.00, frame obj: 1, total obj: 59
inference: time->54.61ms, fps: 18.31, total fps: 4.00, frame obj: 1, total obj: 60
inference: time->54.50ms, fps: 18.35, total fps: 4.00, frame obj: 1, total obj: 61
inference: time->54.53ms, fps: 18.34, total fps: 4.00, frame obj: 1, total obj: 62
inference: time->58.58ms, fps: 17.07, total fps: 4.00, frame obj: 1, total obj: 63
inference: time->55.98ms, fps: 17.86, total fps: 4.00, frame obj: 1, total obj: 64
inference: time->56.52ms, fps: 17.69, total fps: 4.00, frame obj: 1, total obj: 65
inference: time->54.23ms, fps: 18.44, total fps: 4.00, frame obj: 1, total obj: 66
inference: time->54.33ms, fps: 18.40, total fps: 4.00, frame obj: 1, total obj: 67
inference: time->58.06ms, fps: 17.22, total fps: 4.00, frame obj: 1, total obj: 68
inference: time->58.59ms, fps: 17.07, total fps: 4.00, frame obj: 1, total obj: 69
inference: time->58.61ms, fps: 17.06, total fps: 4.00, frame obj: 1, total obj: 70
inference: time->54.36ms, fps: 18.39, total fps: 4.00, frame obj: 1, total obj: 71
inference: time->54.28ms, fps: 18.42, total fps: 4.00, frame obj: 1, total obj: 72
inference: time->54.95ms, fps: 18.20, total fps: 4.00, frame obj: 1, total obj: 73
inference: time->57.65ms, fps: 17.35, total fps: 4.00, frame obj: 1, total obj: 74
inference: time->57.86ms, fps: 17.28, total fps: 4.00, frame obj: 1, total obj: 75
inference: time->57.64ms, fps: 17.35, total fps: 4.00, frame obj: 1, total obj: 76
inference: time->57.48ms, fps: 17.40, total fps: 4.00, frame obj: 1, total obj: 77
inference: time->54.32ms, fps: 18.41, total fps: 4.00, frame obj: 1, total obj: 78
inference: time->54.24ms, fps: 18.44, total fps: 4.00, frame obj: 1, total obj: 79
inference: time->57.50ms, fps: 17.39, total fps: 4.00, frame obj: 2, total obj: 81
inference: time->58.32ms, fps: 17.15, total fps: 4.00, frame obj: 1, total obj: 82
inference: time->58.47ms, fps: 17.10, total fps: 4.00, frame obj: 1, total obj: 83
inference: time->57.90ms, fps: 17.27, total fps: 4.00, frame obj: 1, total obj: 84
inference: time->55.33ms, fps: 18.07, total fps: 4.00, frame obj: 1, total obj: 85
inference: time->54.36ms, fps: 18.40, total fps: 4.00, frame obj: 1, total obj: 86
inference: time->54.52ms, fps: 18.34, total fps: 4.00, frame obj: 1, total obj: 87
inference: time->54.45ms, fps: 18.37, total fps: 4.00, frame obj: 1, total obj: 88
inference: time->54.35ms, fps: 18.40, total fps: 4.00, frame obj: 2, total obj: 90
inference: time->57.87ms, fps: 17.28, total fps: 4.00, frame obj: 1, total obj: 91
inference: time->58.19ms, fps: 17.19, total fps: 4.00, frame obj: 1, total obj: 92
inference: time->57.39ms, fps: 17.43, total fps: 4.00, frame obj: 1, total obj: 93
inference: time->58.65ms, fps: 17.05, total fps: 4.00, frame obj: 1, total obj: 94
inference: time->54.29ms, fps: 18.42, total fps: 4.00, frame obj: 1, total obj: 95
inference: time->57.06ms, fps: 17.52, total fps: 4.00, frame obj: 1, total obj: 96
inference: time->55.52ms, fps: 18.01, total fps: 4.00, frame obj: 2, total obj: 98
inference: time->55.69ms, fps: 17.96, total fps: 4.00, frame obj: 2, total obj: 100
inference: time->56.88ms, fps: 17.58, total fps: 4.00, frame obj: 1, total obj: 101
inference: time->59.00ms, fps: 16.95, total fps: 4.00, frame obj: 0, total obj: 101
inference: time->59.42ms, fps: 16.83, total fps: 4.00, frame obj: 1, total obj: 102
inference: time->56.74ms, fps: 17.62, total fps: 3.00, frame obj: 1, total obj: 103
inference: time->57.63ms, fps: 17.35, total fps: 4.00, frame obj: 1, total obj: 104
inference: time->58.59ms, fps: 17.07, total fps: 3.00, frame obj: 1, total obj: 105
inference: time->58.28ms, fps: 17.16, total fps: 4.00, frame obj: 1, total obj: 106
inference: time->56.41ms, fps: 17.73, total fps: 4.00, frame obj: 1, total obj: 107
inference: time->56.43ms, fps: 17.72, total fps: 4.00, frame obj: 1, total obj: 108
inference: time->58.42ms, fps: 17.12, total fps: 4.00, frame obj: 1, total obj: 109
inference: time->54.91ms, fps: 18.21, total fps: 4.00, frame obj: 1, total obj: 110
