[08/15/2023-02:04:01] [TRT] [I] [MemUsageChange] Init CUDA: CPU +224, GPU +0, now: CPU 265, GPU 1825 (MiB)
[08/15/2023-02:04:02] [TRT] [I] Loaded engine size: 21 MiB
[08/15/2023-02:04:05] [TRT] [I] [MemUsageChange] Init cuBLAS/cuBLASLt: CPU +155, GPU +464, now: CPU 450, GPU 2424 (MiB)
[08/15/2023-02:04:08] [TRT] [I] [MemUsageChange] Init cuDNN: CPU +240, GPU +674, now: CPU 690, GPU 3098 (MiB)
[08/15/2023-02:04:08] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +20, now: CPU 0, GPU 20 (MiB)
[08/15/2023-02:04:08] [TRT] [I] [MemUsageChange] Init cuBLAS/cuBLASLt: CPU +0, GPU +0, now: CPU 669, GPU 3078 (MiB)
[08/15/2023-02:04:08] [TRT] [I] [MemUsageChange] Init cuDNN: CPU +0, GPU +0, now: CPU 669, GPU 3078 (MiB)
[08/15/2023-02:04:09] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +32, now: CPU 0, GPU 52 (MiB)
GST_ARGUS: Creating output stream
CONSUMER: Waiting until producer is connected...
GST_ARGUS: Available Sensor modes :
GST_ARGUS: 3264 x 2464 FR = 21.000000 fps Duration = 47619048 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 3264 x 1848 FR = 28.000001 fps Duration = 35714284 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1920 x 1080 FR = 29.999999 fps Duration = 33333334 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1640 x 1232 FR = 29.999999 fps Duration = 33333334 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1280 x 720 FR = 59.999999 fps Duration = 16666667 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1280 x 720 FR = 120.000005 fps Duration = 8333333 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: Running with following settings:
   Camera index = 0 
   Camera mode  = 5 
   Output Stream W = 1280 H = 720 
   seconds to Run    = 0 
   Frame Rate = 120.000005 
GST_ARGUS: Setup Complete, Starting captures for 0 seconds
GST_ARGUS: Starting repeat capture requests.
CONSUMER: Producer has connected; continuing.
bingding: data (3, 640, 640)
bingding: prob (6001, 1, 1)
batch size is 1
Video name: output/raspberry_cam_from_drone_2023-08-15_02.04.10.avi . Frame size: width: 640 , height: 640 , FPS: 120
inference: time->60.04ms, fps: 16.66, total fps: 0.00, frame obj: 6, total obj: 6
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 8, total obj: 14
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 9, total obj: 23
inference: time->54.68ms, fps: 18.29, total fps: 4.00, frame obj: 6, total obj: 29
inference: time->54.62ms, fps: 18.31, total fps: 4.00, frame obj: 4, total obj: 33
inference: time->54.80ms, fps: 18.25, total fps: 4.00, frame obj: 9, total obj: 42
inference: time->54.93ms, fps: 18.21, total fps: 4.00, frame obj: 5, total obj: 47
inference: time->54.67ms, fps: 18.29, total fps: 4.00, frame obj: 8, total obj: 55
inference: time->54.55ms, fps: 18.33, total fps: 4.00, frame obj: 7, total obj: 62
inference: time->54.75ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 69
inference: time->54.87ms, fps: 18.22, total fps: 4.00, frame obj: 7, total obj: 76
inference: time->54.59ms, fps: 18.32, total fps: 4.00, frame obj: 9, total obj: 85
inference: time->54.68ms, fps: 18.29, total fps: 4.00, frame obj: 6, total obj: 91
inference: time->54.76ms, fps: 18.26, total fps: 5.00, frame obj: 6, total obj: 97
inference: time->54.78ms, fps: 18.26, total fps: 4.00, frame obj: 7, total obj: 104
inference: time->54.65ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 111
inference: time->54.49ms, fps: 18.35, total fps: 4.00, frame obj: 6, total obj: 117
inference: time->54.77ms, fps: 18.26, total fps: 4.00, frame obj: 7, total obj: 124
inference: time->54.54ms, fps: 18.33, total fps: 4.00, frame obj: 7, total obj: 131
inference: time->54.50ms, fps: 18.35, total fps: 4.00, frame obj: 7, total obj: 138
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 145
inference: time->35504885.76ms, fps: 0.00, total fps: 4.00, frame obj: 6, total obj: 151
inference: time->55.06ms, fps: 18.16, total fps: 0.00, frame obj: 9, total obj: 160
inference: time->55.81ms, fps: 17.92, total fps: 4.00, frame obj: 6, total obj: 166
inference: time->54.60ms, fps: 18.31, total fps: 4.00, frame obj: 7, total obj: 173
inference: time->54.74ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 180
inference: time->54.67ms, fps: 18.29, total fps: 4.00, frame obj: 6, total obj: 186
inference: time->54.74ms, fps: 18.27, total fps: 4.00, frame obj: 5, total obj: 191
inference: time->55.20ms, fps: 18.12, total fps: 4.00, frame obj: 5, total obj: 196
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 203
inference: time->55.05ms, fps: 18.16, total fps: 4.00, frame obj: 8, total obj: 211
inference: time->54.59ms, fps: 18.32, total fps: 4.00, frame obj: 6, total obj: 217
inference: time->54.75ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 224
inference: time->57.88ms, fps: 17.28, total fps: 4.00, frame obj: 7, total obj: 231
inference: time->54.71ms, fps: 18.28, total fps: 4.00, frame obj: 5, total obj: 236
inference: time->54.90ms, fps: 18.21, total fps: 4.00, frame obj: 6, total obj: 242
inference: time->54.97ms, fps: 18.19, total fps: 4.00, frame obj: 5, total obj: 247
inference: time->54.95ms, fps: 18.20, total fps: 4.00, frame obj: 8, total obj: 255
inference: time->57.86ms, fps: 17.28, total fps: 4.00, frame obj: 5, total obj: 260
inference: time->54.92ms, fps: 18.21, total fps: 4.00, frame obj: 7, total obj: 267
inference: time->54.72ms, fps: 18.28, total fps: 4.00, frame obj: 5, total obj: 272
inference: time->54.86ms, fps: 18.23, total fps: 4.00, frame obj: 7, total obj: 279
inference: time->54.86ms, fps: 18.23, total fps: 4.00, frame obj: 7, total obj: 286
inference: time->54.97ms, fps: 18.19, total fps: 4.00, frame obj: 6, total obj: 292
inference: time->57.98ms, fps: 17.25, total fps: 4.00, frame obj: 6, total obj: 298
inference: time->54.88ms, fps: 18.22, total fps: 4.00, frame obj: 7, total obj: 305
inference: time->57.27ms, fps: 17.46, total fps: 4.00, frame obj: 6, total obj: 311
inference: time->55.01ms, fps: 18.18, total fps: 4.00, frame obj: 8, total obj: 319
inference: time->55.80ms, fps: 17.92, total fps: 4.00, frame obj: 6, total obj: 325
inference: time->55.01ms, fps: 18.18, total fps: 4.00, frame obj: 9, total obj: 334
inference: time->54.85ms, fps: 18.23, total fps: 4.00, frame obj: 8, total obj: 342
inference: time->54.80ms, fps: 18.25, total fps: 4.00, frame obj: 7, total obj: 349
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 6, total obj: 355
inference: time->54.84ms, fps: 18.23, total fps: 4.00, frame obj: 6, total obj: 361
inference: time->54.92ms, fps: 18.21, total fps: 4.00, frame obj: 9, total obj: 370
inference: time->56.37ms, fps: 17.74, total fps: 4.00, frame obj: 8, total obj: 378
inference: time->54.82ms, fps: 18.24, total fps: 4.00, frame obj: 7, total obj: 385
inference: time->54.78ms, fps: 18.25, total fps: 4.00, frame obj: 7, total obj: 392
